一、基础标识
字段名,含义
RecId,记录唯一ID
RowDescription,行描述/备注

二、开火模式与射速
字段名,含义
SuppportFireModes,支持的开火模式数组（单发/连发/三连发）
DefaultFireMode,默认开火模式
FireRateMode,射速模式（自动/手动）
FireSocketMode,开火插座模式（单枪口/多枪口）
FireInterval,开火间隔（秒）
FireCD,开火冷却时间（秒）
FireDelayTime,开火延迟时间（秒）
BurstFireCD,连发模式下的冷却时间
BurstInterval,连发间隔
BurstFireInterval,连发开火间隔
BurstFireBulletCount,连发子弹数量（如三连发就是3）
PostFireTime,开火后摇时间
ChamberTime,上膛时间（拉栓时间）
AutoFireSingleInterval,自动单发模式下的间隔
AutoFireBurstInterval,自动连发模式下的间隔
bEnableSprintAutoDelayFireOnce,是否启用奔跑后自动延迟开火（仅一次）
SingleFireTolerant,单发容错时间（快速点击时的判定宽容度）

三、开火视角与碰撞
字段名,含义
bSupportFireStartRotFromView,是否支持从视角方向开始开火
FireFromViewConfig,从视角开火的配置
bOverrideConfig,是否覆盖配置
TolerantAngle,容错角度
└─ UseLogicAsBasic,是否使用逻辑作为基础
bCanFireUnderWater,能否在水下开火
bEnableIgnoreTeammateBlock_SOLMode,单机模式下是否忽略队友阻挡
bEnableIgnoreTeammateBlock_MPMode,多人模式下是否忽略队友阻挡

四、弹药系统
字段名,含义
CanAddAmmo,能否添加弹药
WeaponAmmoCost,每次开火消耗的弹药数
ProjectileNumPerShot,每次开火发射的抛射物数量
MaxValidBulletNumPerShot,每次开火最大有效子弹数
WeaponClipAmmoCount,弹匣容量
MaxCarriedAmmoCount,最大携带弹药数
AmmoType,弹药类型ID
UseItemAmmoLogic,是否使用物品弹药逻辑

五、伤害规则
字段名,含义
AmmoDamageRule_MP,多人模式弹药伤害规则
AmmoDamageType,伤害类型（PassHand=手持武器决定）
AmmoArmorLevelDiff,护甲等级差
PenetrateAttenuationRatio,穿透衰减比例
PenetrateAttenuationType,穿透衰减类型（Never=永不衰减）
└─ PenetrateAmmoLevelDecrease,穿透弹药等级降低
EnableAmmoTip,是否启用弹药提示
LowAmmoPresent,低弹药提示阈值（20%弹量时提醒）
bEnableAutoModifyAmmo,是否自动修改弹药
AutoModifyAmmoInterval,自动修改弹药间隔
DeltaAmmoOnce,单次弹药变化量

六、换弹逻辑
字段名,含义
ChangeClipMode,换弹模式（Replace=替换弹匣）
ChangeClipMaxReloadedOnce,单次换弹最大装填数
ChangeClipTime,换弹时间（有子弹时）
ChangeClipTimeWhenEmpty,空仓换弹时间
ChangeClipTimeBackground,后台换弹时间
bEnableAimOnReloading,换弹时能否瞄准
bAutoReloadWhenEmpty,空弹匣是否自动换弹
AutoReloadOption,自动换弹选项

七、过热系统
字段名,含义
HeatIncreasePerFire,每次开火热量增加
HeatDecreasePerSecond,每秒热量减少
OverHeatCDSeconds,过热冷却时间（秒）
EffectOverHeatMin,过热效果触发阈值

八、切换与装备时间
字段名,含义
EquipTime,装备时间
UnEquipTime,卸下时间
FastEquipTime,快速装备时间
FastUnEquipTime,快速卸下时间
FirstEquipTime,首次装备时间
HadFirstEquipAnim,是否有首次装备动画

九、状态与后坐力ID引用
字段名,含义
CharacterStateId,角色状态ID
IK3PLeftShoulerPitch,第三人称左肩IK俯仰角
IK3PLeftArmYaw,第三人称左臂偏航角
WaistShootCrossHairId,腰射准星ID
WaistShootSpreadId,腰射散布ID
WaistShootRecoilId,腰射后坐力ID
AimAssistorId,瞄准辅助ID
AimAssistorIdForMPMode,多人模式瞄准辅助ID
AimingId,瞄准配置ID
SideAimingId,侧身瞄准配置ID
AntiVehicleAssistAimConfigID,反载具辅助瞄准配置ID
AntiVehiclePosPredictConfigID,反载具位置预测配置ID
WeaponHitPosPredictConfigID,武器命中位置预测配置ID
bEnableFastSwitchWeaponFireMode,是否启用快速切换开火模式

十、镜头恢复
字段名,含义
CameraRecover,镜头恢复配置
PitchUndampedFrequency,俯仰无阻尼频率
YawUndampedFrequency,偏航无阻尼频率
PitchDampingRatio,俯仰阻尼比
YawDampingRatio,偏航阻尼比
PitchFixN,俯仰修正系数
YawFixN,偏航修正系数
PitchMaxVelocity,俯仰最大速度
YawMaxVelocity,偏航最大速度
PitchRecoverRate,俯仰恢复速率
YawRecoverRate,偏航恢复速率
RecoverPauseWhiteList,恢复暂停白名单

